chr_1	start_1	end_1	chr_2	start_2	end_2	k562_r1	k562_r2	mcf7_r1	mcf7_r2	loopWidth	logFC	PValue	FDR	gene.tss
6	26193587	26201002	6	26203527	26208554	169	242	0	0	8746	-10.2205424814543	0.0000000000000000000000000000000000000000000000179869976621958	0.0000000000000000000000000000000000000000000104774261382291	HIST1H3D,HIST1H2AD,HIST1H2BF,HIST1H4E
17	56403949	56410966	17	56414115	56417755	155	213	0	0	8477	-10.0646598898057	0.0000000000000000000000000000000000000000000590402801393043	0.0000000000000000000000000000000000000000262026386142055	BZRAP1
6	74221945	74228007	6	74228640	74234680	127	190	0	0	6684	-9.84291778371263	0.00000000000000000000000000000000000000249147599807954	0.000000000000000000000000000000000000860020603781529	EEF1A1
7	100024885	100029253	7	100031941	100035440	91	133	0	0	6621	-9.34468722266305	0.00000000000000000000000000000242871460459596	0.000000000000000000000000000452712402296686	ZCWPW1,MEPCE,PPP1R35
2	85763824	85769118	2	85771566	85776025	75	125	0	0	7324	-9.17335813469914	0.00000000000000000000000000106916654368772	0.000000000000000000000000168892070968975	MAT2A
12	52582290	52587072	12	52593240	52599042	0	0	55	103	11460	9.97606424111796	0.000000000000000000000000000000000000000000000000000000000000170318978326066	0.000000000000000000000000000000000000000000000000000000000158737287799894	KRT80
14	38051267	38055662	14	38062239	38066780	0	0	62	87	11045	9.90352101851519	0.0000000000000000000000000000000000000000000000000000000000365676767695644	0.0000000000000000000000000000000000000000000000000000000309827952265764	TTC6
3	161087371	161092080	3	161123543	161126836	0	0	49	68	35464	9.5559310902159	0.000000000000000000000000000000000000000000000000271125453071301	0.000000000000000000000000000000000000000000000210574101885377	SPTSSB
17	39676448	39686911	17	39702352	39706652	0	0	40	74	22822	9.50875230678892	0.00000000000000000000000000000000000000000000000390251511141546	0.00000000000000000000000000000000000000000000259796005988515	KRT15,KRT19
20	45984705	45990948	20	45996213	46003273	0	0	52	56	11916	9.44946912572101	0.000000000000000000000000000000000000000000000178355902346948	0.0000000000000000000000000000000000000000000874882636775555	ZMYND8
